epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,123.003,0.77454,2.2446,1.21587,0.79108,0.27317,0.2731,0.1317,1.77812,2.50304,2.1716,0.00110484,0.000368281,0.00110484,0.000368281,0.00110484,0.000368281,0.00110484,0.000368281
59,126.205,0.79412,2.28496,1.1764,0.78581,0.25587,0.26836,0.12823,1.77659,2.50012,2.19504,0.00105844,0.000352812,0.00105844,0.000352812,0.00105844,0.000352812,0.00105844,0.000352812
60,127.951,0.77248,2.31167,1.18718,0.76733,0.26786,0.26384,0.12885,1.78065,2.52147,2.20847,0.00101203,0.000337344,0.00101203,0.000337344,0.00101203,0.000337344,0.00101203,0.000337344
61,129.716,0.8048,2.27979,1.23057,0.77298,0.26439,0.263,0.12853,1.77544,2.5205,2.21165,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
62,131.596,0.81251,2.29529,1.22284,0.76831,0.26665,0.26428,0.13035,1.7829,2.52066,2.21486,0.000919219,0.000306406,0.000919219,0.000306406,0.000919219,0.000306406,0.000919219,0.000306406
63,133.339,0.76339,2.22114,1.174,0.77055,0.26786,0.25089,0.12057,1.8056,2.52754,2.23782,0.000872812,0.000290937,0.000872812,0.000290937,0.000872812,0.000290937,0.000872812,0.000290937
64,135.058,0.8236,2.32779,1.20733,0.75988,0.26786,0.25418,0.12852,1.81316,2.54412,2.25156,0.000826406,0.000275469,0.000826406,0.000275469,0.000826406,0.000275469,0.000826406,0.000275469
65,137.382,0.80462,2.22465,1.19611,0.7817,0.26542,0.25766,0.12334,1.81067,2.56216,2.26998,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
66,140.104,0.78377,2.19863,1.19589,0.72666,0.23661,0.24225,0.12093,1.80249,2.59427,2.2689,0.000733594,0.000244531,0.000733594,0.000244531,0.000733594,0.000244531,0.000733594,0.000244531
67,142.185,0.80121,2.23687,1.19113,0.76658,0.20089,0.24118,0.12685,1.8024,2.59593,2.28901,0.000687188,0.000229063,0.000687188,0.000229063,0.000687188,0.000229063,0.000687188,0.000229063
68,143.917,0.81563,2.2157,1.19776,0.77125,0.20089,0.24073,0.12776,1.8006,2.58297,2.29263,0.000640781,0.000213594,0.000640781,0.000213594,0.000640781,0.000213594,0.000640781,0.000213594
69,145.641,0.74785,2.13509,1.1873,0.76671,0.2121,0.24367,0.12099,1.80721,2.56764,2.31306,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
70,147.447,0.84806,2.21927,1.25773,0.76428,0.21001,0.24332,0.12081,1.82674,2.55252,2.33343,0.000547969,0.000182656,0.000547969,0.000182656,0.000547969,0.000182656,0.000547969,0.000182656
71,150.677,0.8351,2.53072,1.28165,0.80181,0.27232,0.29392,0.13104,1.87243,2.49151,2.36921,0.000501563,0.000167188,0.000501563,0.000167188,0.000501563,0.000167188,0.000501563,0.000167188
72,153.75,0.82867,2.34372,1.23246,0.85669,0.31884,0.30181,0.12849,1.87733,2.41194,2.39802,0.000455156,0.000151719,0.000455156,0.000151719,0.000455156,0.000151719,0.000455156,0.000151719
73,156.028,0.74734,2.31028,1.19744,0.87856,0.29308,0.3173,0.14263,1.88852,2.39455,2.36199,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
74,157.787,0.7657,2.3925,1.18708,0.90027,0.29155,0.32087,0.14408,1.864,2.3809,2.32659,0.000362344,0.000120781,0.000362344,0.000120781,0.000362344,0.000120781,0.000362344,0.000120781
75,159.728,0.7585,2.38998,1.25085,0.65528,0.29016,0.32956,0.14582,1.83794,2.35275,2.3195,0.000315937,0.000105312,0.000315937,0.000105312,0.000315937,0.000105312,0.000315937,0.000105312
76,161.589,0.74851,2.28267,1.19266,0.65152,0.28932,0.32743,0.14986,1.83763,2.35887,2.3128,0.000269531,8.98437e-05,0.000269531,8.98437e-05,0.000269531,8.98437e-05,0.000269531,8.98437e-05
77,163.268,0.73202,2.36114,1.19184,0.64695,0.29074,0.33436,0.14155,1.8497,2.34887,2.29471,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
78,165.005,0.80024,2.34919,1.19094,0.64807,0.29009,0.33936,0.14748,1.84263,2.33425,2.26718,0.000176719,5.89062e-05,0.000176719,5.89062e-05,0.000176719,5.89062e-05,0.000176719,5.89062e-05
79,167.621,0.78584,2.3407,1.23256,0.64773,0.29188,0.33582,0.14573,1.84081,2.34969,2.24768,0.000130313,4.34375e-05,0.000130313,4.34375e-05,0.000130313,4.34375e-05,0.000130313,4.34375e-05
80,170.652,0.69653,2.28475,1.17435,0.6455,0.29461,0.33821,0.14803,1.85717,2.33992,2.25964,8.39062e-05,2.79687e-05,8.39062e-05,2.79687e-05,8.39062e-05,2.79687e-05,8.39062e-05,2.79687e-05
